dbn,name,primary_address,city,zip,latitude,longitude
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,1615 MADISON AVENUE,MANHATTAN,10029,40.7951169,-73.9480744
04M112,P.S. 112 Jose Celso Barbosa,535 EAST 119 STREET,MANHATTAN,10035,40.7964942,-73.9300386
04M146,P.S. 146 Ann M. Short,421 EAST 106 STREET,MANHATTAN,10029,40.7894561,-73.9388211
04M155,P.S. 155 William Paca,319 EAST 117 STREET,MANHATTAN,10035,40.7973176,-73.9359411
04M171,P.S. 171 Patrick Henry,19 EAST 103 STREET,MANHATTAN,10029,40.792294,-73.951434
04M182,The Bilingual Bicultural School,219 EAST 109 STREET,MANHATTAN,10029,40.7931298,-73.9418125
04M206,P.S. 206 Jose Celso Barbosa,508 EAST 120 STREET,MANHATTAN,10035,40.7969061,-73.9299784
04M224,M.S. 224 Manhattan East School for Arts & Academics,410 EAST 100 STREET,MANHATTAN,10029,40.7850131,-73.942073
04M372,ESPERANZA PREPARATORY ACADEMY,240 EAST 109 STREET,MANHATTAN,10029,40.7924857,-73.9417246
04M375,Mosaic Preparatory Academy,141 EAST 111 STREET,MANHATTAN,10029,40.7959052,-73.9443835
04M377,Renaissance School of the Arts,319 EAST 117 STREET,MANHATTAN,10035,40.7973176,-73.9359411
04M381,Global Neighborhood Secondary School,240 EAST 109 STREET,MANHATTAN,10029,40.7924857,-73.9417246
04M406,Global Technology Preparatory,160 EAST 120 STREET,MANHATTAN,10035,40.8009638,-73.939617
04M409,Coalition School for Social Change,2351 1ST AVENUE,MANHATTAN,10035,40.7992278,-73.9338214
04M435,Manhattan Center for Science and Mathematics,260 PLEASANT AVENUE,MANHATTAN,10029,40.7942234,-73.9326416
04M495,Park East High School,230 EAST 105 STREET,MANHATTAN,10029,40.7902049,-73.9441678
04M497,Central Park East I,1573 MADISON AVENUE,MANHATTAN,10029,40.7936899,-73.9491583
04M555,Central Park East High School,1573 MADISON AVENUE,MANHATTAN,10029,40.7936899,-73.9491583
04M610,Young Women's Leadership School,105 EAST 106 STREET,MANHATTAN,10029,40.792935,-73.947168
04M635,Academy of Environmental Science Secondary High School,410 EAST 100 STREET,MANHATTAN,10029,40.7850131,-73.942073
04M680,"Heritage School, The",1680 LEXINGTON AVENUE,MANHATTAN,10029,40.791964,-73.946878
04M825,Isaac Newton Middle School for Math & Science,260 PLEASANT AVENUE,MANHATTAN,10029,40.7942234,-73.9326416
04M964,Central Park East II,19 EAST 103 STREET,MANHATTAN,10029,40.792294,-73.951434
05M030,P.S. 030 Hernandez/Hughes,144-176 EAST 128 STREET,MANHATTAN,10035,40.8069774,-73.9376529
05M036,P.S. 036 Margaret Douglas,123 MORNINGSIDE DRIVE,MANHATTAN,10027,40.810705,-73.957404
05M046,P.S. 046 Arthur Tappan,2987 FREDERICK DGLS BLVD,MANHATTAN,10039,40.8317384,-73.9355185
05M092,P.S. 092 Mary McLeod Bethune,222 WEST 134 STREET,MANHATTAN,10030,40.8145839,-73.9449913
05M123,P.S. 123 Mahalia Jackson,301 WEST 140 STREET,MANHATTAN,10030,40.8199748,-73.9444992
05M125,P.S. 125 Ralph Bunche,425 WEST 123 STREET,MANHATTAN,10027,40.8106401,-73.9558474
05M129,P.S. 129 John H. Finley,425 WEST 130 STREET,MANHATTAN,10027,40.814912,-73.952
05M133,P.S. 133 Fred R Moore,2121 5 AVENUE,MANHATTAN,10037,40.8096731,-73.9391163
05M148,Eagle Academy for Young Men of Harlem,6 EDGECOMBE AVENUE,MANHATTAN,10030,40.8174583,-73.9473723
05M154,P.S. 154 Harriet Tubman,250 WEST 127 STREET,MANHATTAN,10027,40.8110071,-73.9491304
05M157,The Urban Assembly School for Global Commerce,2005 MADISON AVENUE,MANHATTAN,10035,40.8070793,-73.9390933
05M161,P.S. 161 Pedro Albizu Campos,499 WEST 133 STREET,MANHATTAN,10027,40.817721,-73.952459
05M175,P.S. 175 Henry H Garnet,175 WEST 134 STREET,MANHATTAN,10030,40.8143361,-73.9429783
05M194,P.S. 194 Countee Cullen,244 WEST 144 STREET,MANHATTAN,10030,40.8212634,-73.9407418
05M197,P.S. 197 John B. Russwurm,2230 5 AVENUE,MANHATTAN,10037,40.8133194,-73.9378928
05M200,P.S. 200- The James Mccune Smith School,2589 7 AVENUE,MANHATTAN,10039,40.8240334,-73.9372092
05M285,Harlem Renaissance High School,22 EAST 128 STREET,MANHATTAN,10035,40.8077499,-73.9398816
05M286,I.S. M286 Renaissance Leadership Academy,509 WEST 129 STREET,MANHATTAN,10027,40.8151196,-73.9549462
05M302,KAPPA IV,6 EDGECOMBE AVENUE,MANHATTAN,10030,40.8174583,-73.9473723
05M304,Mott Hall High School,6 EDGECOMBE AVENUE,MANHATTAN,10030,40.8174583,-73.9473723
05M318,Thurgood Marshall Academy Lower School,276 WEST 151ST STREET,MANHATTAN,10039,40.8259644,-73.937942
05M362,Columbia Secondary School,425 WEST 123 STREET,MANHATTAN,10027,40.8106401,-73.9558474
05M367,Academy for Social Action: A College Board School,509 WEST 129 STREET,MANHATTAN,10027,40.8151196,-73.9549462
05M369,Urban Assembly School for the Performing Arts,509 WEST 129 STREET,MANHATTAN,10027,40.8151196,-73.9549462
05M410,The Urban Assembly Institute for New Technologies,509 WEST 129 STREET,MANHATTAN,10027,40.8151196,-73.9549462
05M469,Choir Academy of Harlem,2005 MADISON AVENUE,MANHATTAN,10035,40.8070793,-73.9390933
05M499,Frederick Douglass Academy,2581 7TH AVENUE,MANHATTAN,10039,40.8243982,-73.9365449
05M514,New Design Middle School,625 WEST 133 STREET,MANHATTAN,10027,40.819803,-73.956827
05M517,Teachers College Community School,168 MORNINGSIDE AVENUE,MANHATTAN,10027,40.8125165,-73.9535404
05M670,Thurgood Marshall Academy for Learning and Social Change,200-214 WEST 135TH STREET,MANHATTAN,10030,40.8152968,-73.9443043
05M685,Bread & Roses Integrated Arts High School,6 EDGECOMBE AVENUE,MANHATTAN,10030,40.8174583,-73.9473723
05M692,"High School for Mathematics, Science and Engineering at City College",240 CONVENT AVE,MANHATTAN,10031,40.8213947,-73.9488459
06M004,P.S. 004 Duke Ellington,500 WEST 160 STREET,MANHATTAN,10032,40.8347501,-73.9407048
06M005,P.S. 005 Ellen Lurie,3703 TENTH AVENUE,MANHATTAN,10034,40.8591641,-73.9227366
06M008,P.S. 008 Luis Belliard,465 WEST 167 STREET,MANHATTAN,10032,40.8393844,-73.9367835
06M018,P.S. 018 Park Terrace,4124 9 AVENUE,MANHATTAN,10034,40.8716626,-73.9115806
06M028,P.S. 028 Wright Brothers,475 WEST 155 STREET,MANHATTAN,10032,40.8316951,-73.9426207
06M048,P.S. 048 P.O. Michael J. Buczek,4360-78 BROADWAY,MANHATTAN,10033,40.8533239,-73.933497
06M052,J.H.S. 052 Inwood,650 ACADEMY STREET,MANHATTAN,10034,40.8659143,-73.925157
06M098,P.S. 098 Shorac Kappock,512 WEST 212 STREET,MANHATTAN,10034,40.8681001,-73.9176032
06M103,Dos Puentes Elementary School,185 WADSWORTH AVENUE,MANHATTAN,10033,40.8505589,-73.93396
06M115,P.S. 115 Alexander Humboldt,586 WEST 177 STREET,MANHATTAN,10033,40.8462714,-73.9350071
06M128,P.S. 128 Audubon,560 WEST 169 STREET,MANHATTAN,10032,40.8416778,-73.9393219
06M132,P.S. 132 Juan Pablo Duarte,185 WADSWORTH AVENUE,MANHATTAN,10033,40.8505589,-73.93396
06M143,J.H.S. 143 Eleanor Roosevelt,511 WEST 182ND STREET,MANHATTAN,10033,40.8490452,-73.9312015
06M152,P.S. 152 Dyckman Valley,93 NAGLE AVENUE,MANHATTAN,10040,40.8601744,-73.9277953
06M153,P.S. 153 Adam Clayton Powell,1750 AMSTERDAM AVENUE,MANHATTAN,10031,40.8262848,-73.9472873
06M173,P.S. 173,306 FORT WASHINGTON AVENUE,MANHATTAN,10033,40.8456199,-73.9397377
06M178,Professor Juan Bosch Public School,12-18 ELLWOOD STREET,MANHATTAN,10040,40.8594949,-73.9279416
06M187,P.S./I.S. 187 Hudson Cliffs,349 CABRINI BOULEVARD,MANHATTAN,10040,40.8563491,-73.9373574
06M189,P.S. 189,2580 AMSTERDAM AVENUE,MANHATTAN,10040,40.8530535,-73.9280002
06M192,P.S. 192 Jacob H. Schiff,500 WEST 138 STREET,MANHATTAN,10031,40.821053,-73.9530544
06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,501-503 WEST 152 STREET,MANHATTAN,10031,40.8299413,-73.9446256
06M218,I.S. 218 Salome Urena,4600 BROADWAY,MANHATTAN,10040,40.8608196,-73.9300663
06M223,The Mott Hall School,71-111 CONVENT AVE,MANHATTAN,10027,40.8171036,-73.9523545
06M278,Paula Hedbavny School,421 W 219TH ST,MANHATTAN,10034,40.8717871,-73.9132819
06M293,City College Academy of the Arts,4600 BROADWAY,MANHATTAN,10040,40.8608196,-73.9300663
06M311,Amistad Dual Language School,4862 BROADWAY,MANHATTAN,10034,40.8665218,-73.9238183
06M314,Muscota,4862 BROADWAY,MANHATTAN,10034,40.8665218,-73.9238183
06M319,M.S. 319 - Maria Teresa,21 JUMEL PLACE,MANHATTAN,10032,40.8394126,-73.9357677
06M322,Middle School 322,4600 BROADWAY,MANHATTAN,10040,40.8608196,-73.9300663
06M324,M.S. 324 - Patria Mirabal,21 JUMEL PLACE,MANHATTAN,10032,40.8394126,-73.9357677
06M325,P.S. 325,500 WEST 138 STREET,MANHATTAN,10031,40.821053,-73.9530544
06M326,M.S. 326 - Writers Today & Leaders Tomorrow,401 WEST 164 STREET,MANHATTAN,10032,40.8369119,-73.9374121
06M328,M.S. 328 - Manhattan Middle School for Scientific Inquiry,401 WEST 164 STREET,MANHATTAN,10032,40.8369119,-73.9374121
06M346,Community Health Academy of the Heights,504 WEST 158TH STREET,MANHATTAN,10032,40.8334867,-73.9424463
06M348,Washington Heights Expeditionary Learning School,511 WEST 182ND STREET,MANHATTAN,10033,40.8490452,-73.9312015
06M349,Harbor Heights,306 FORT WASHINGTON AVENUE,MANHATTAN,10033,40.8456199,-73.9397377
06M366,Washington Heights Academy,202 SHERMAN AVE,MANHATTAN,10034,40.8654902,-73.9215724
06M368,Hamilton Heights School,1750 AMSTERDAM AVENUE,MANHATTAN,10031,40.8262848,-73.9472873
06M423,High School for Excellence and Innovation,650 ACADEMY STREET,MANHATTAN,10034,40.8659143,-73.925157
06M462,The College Academy,549 AUDUBON AVENUE,MANHATTAN,10040,40.8562127,-73.9265543
06M463,High School for Media and Communications,549 AUDUBON AVENUE,MANHATTAN,10040,40.8562127,-73.9265543
06M467,High School for Law and Public Service,549 AUDUBON AVENUE,MANHATTAN,10040,40.8562127,-73.9265543
06M468,High School for Health Careers and Sciences,549 AUDUBON AVENUE,MANHATTAN,10040,40.8562127,-73.9265543
06M513,Castle Bridge School,560 WEST 169 STREET,MANHATTAN,10032,40.8416778,-73.9393219
06M528,I.S. 528 Bea Fuller Rodgers School,180 WADSWORTH AVENUE,MANHATTAN,10033,40.850688,-73.934663
06M540,A. Philip Randolph Campus High School,443 WEST 135 STREET,MANHATTAN,10031,40.818413,-73.9503019
06M552,Gregorio Luperon High School for Science and Mathematics,501 WEST 165TH,MANHATTAN,10032,40.8383816,-73.9385845
07X001,P.S. 001 Courtlandt School,335 EAST 152 STREET,BRONX,10451,40.8191006,-73.9194097
07X005,PS 5 Port Morris,564 JACKSON AVENUE,BRONX,10455,40.8137625,-73.9084802
07X018,P.S. 018 John Peter Zenger,502 MORRIS AVENUE,BRONX,10451,40.816349,-73.922697
07X025,P.S. 025 Bilingual School,811 EAST 149 STREET,BRONX,10455,40.8127342,-73.9056831
07X029,P.S./M.S. 029 Melrose School,758 COURTLANDT AVENUE,BRONX,10451,40.8214439,-73.9169725
07X030,P.S. 030 Wilton,510 EAST 141 STREET,BRONX,10454,40.8091983,-73.9176267
07X031,P.S./M.S. 031 The William Lloyd Garrison,250 EAST 156 STREET,BRONX,10451,40.8230735,-73.9213427
07X043,P.S. 043 Jonas Bronck,165 BROWN PLACE,BRONX,10454,40.8064193,-73.9214243
07X049,P.S. 049 Willis Avenue,383 EAST 139 STREET,BRONX,10454,40.810318,-73.922949
07X065,P.S. 065 Mother Hale Academy,677 EAST 141 STREET,BRONX,10454,40.8077521,-73.9127794
07X151,J.H.S. 151 Lou Gehrig,250 EAST 156 STREET,BRONX,10451,40.8230735,-73.9213427
07X154,P.S. 154 Jonathan D. Hyatt,333 EAST 135 STREET,BRONX,10454,40.808126,-73.925479
07X157,P.S. 157 Grove Hill,757 CAULDWELL AVENUE,BRONX,10456,40.8193893,-73.9091997
07X161,P.S. 161 Ponce De Leon,628 TINTON AVENUE,BRONX,10455,40.8144412,-73.9054424
07X162,J.H.S. 162 Lola Rodriguez De Tio,600 SAINT ANN'S AVENUE,BRONX,10455,40.8145265,-73.9123068
07X179,P.S. 179,468 EAST 140 STREET,BRONX,10454,40.8092564,-73.9198088
